nb_cluster	nb_cluster_with_poly	nb_clustered_taxid_with_poly	nb_expected_taxid	complement_clustered_taxid_with_poly	complement_expected_taxid	expected_and_clustered_intersection	Evalue	coverage	inflation	precision	sensitivity	F1_score
63204	92	1099	1217	324	256	775	1e-120	30	1_2	0.5719557195571956	0.7516973811833172	0.6496227996647108
63411	96	1078	1217	308	261	770	1e-120	30	1_4	0.5750560119492159	0.7468477206595538	0.6497890295358649
63585	99	1037	1217	267	261	770	1e-120	30	1_6	0.5932203389830508	0.7468477206595538	0.6612279948475741
90347	72	1593	1217	725	163	868	1e-60	30	1_2	0.49430523917995445	0.8419010669253152	0.622891998564765
63723	104	1021	1217	257	267	764	1e-120	30	1_8	0.593167701863354	0.7410281280310378	0.6589047003018543
100434	65	2114	1217	1188	105	926	1e-40	30	1_2	0.41730509238395674	0.8981571290009699	0.5698461538461539
63817	106	1019	1217	255	267	764	1e-120	30	2	0.5940902021772939	0.7410281280310378	0.6594734570565385
92205	58	2579	1217	1644	96	935	1e-20	30	1_2	0.34953271028037386	0.906886517943744	0.5045871559633028
70779	57	2827	1217	1892	96	935	1e-05	30	1_2	0.3198768388641806	0.906886517943744	0.4729387961557916
64125	109	1011	1217	253	273	758	1e-120	30	3	0.5903426791277259	0.7352085354025218	0.6548596112311016
90918	78	1451	1217	630	210	821	1e-60	30	1_4	0.4942805538832029	0.7963142580019399	0.6099554234769688
64712	125	976	1217	251	306	725	1e-120	30	5	0.5655226209048362	0.7032007759456838	0.6268914829226112
65133	139	968	1217	250	313	718	1e-120	30	8	0.5604996096799375	0.6964112512124151	0.6211072664359862
101318	73	2002	1217	1085	114	917	1e-40	30	1_4	0.4333648393194707	0.8894277400581959	0.582777248172863
93635	67	2425	1217	1490	96	935	1e-20	30	1_4	0.37088456961523203	0.906886517943744	0.5264639639639639
91300	83	1372	1217	559	218	813	1e-60	30	1_6	0.5113207547169811	0.7885548011639185	0.6203739030904235
73601	63	2566	1217	1631	96	935	1e-05	30	1_4	0.3512396694214876	0.906886517943744	0.5063633901976712
63455	96	1085	1217	321	267	764	1e-120	40	1_2	0.5650887573964497	0.7410281280310378	0.6412085606378514
91549	84	1365	1217	554	220	811	1e-60	30	1_8	0.5116719242902208	0.7866149369544132	0.6200305810397554
101856	75	1665	1217	780	146	885	1e-40	30	1_6	0.48868028713418	0.8583899127061105	0.6228008444757214
63660	101	1072	1217	308	267	764	1e-120	40	1_4	0.5705750560119492	0.7410281280310378	0.6447257383966245
94490	71	2236	1217	1305	100	931	1e-20	30	1_6	0.3985445205479452	0.9030067895247332	0.5530145530145529
75323	69	2399	1217	1466	98	933	1e-05	30	1_6	0.3736483780536644	0.9049466537342385	0.5289115646258504
63836	105	1031	1217	267	267	764	1e-120	40	1_6	0.588597842835131	0.7410281280310378	0.6560755689136968
91737	85	1366	1217	559	224	807	1e-60	30	2	0.5075471698113208	0.7827352085354026	0.6157954979015643
63970	109	1021	1217	257	267	764	1e-120	40	1_8	0.593167701863354	0.7410281280310378	0.6589047003018543
102229	78	1536	1217	700	195	836	1e-40	30	1_8	0.4829578278451762	0.8108632395732299	0.6053584359160029
70840	91	1189	1217	398	240	791	1e-100	30	1_2	0.5535339398180545	0.7672162948593598	0.6430894308943089
95224	75	2054	1217	1187	164	867	1e-20	30	1_8	0.390892696122633	0.8409311348205626	0.5337026777469991
64068	111	1009	1217	255	277	754	1e-120	40	2	0.5863141524105754	0.7313288069835111	0.6508416055243849
92419	93	1304	1217	504	231	800	1e-60	30	3	0.5211726384364821	0.7759456838021338	0.6235385814497271
76601	76	2289	1217	1406	148	883	1e-05	30	1_8	0.362330734509643	0.8564500484966052	0.5092272202998845
71126	93	1134	1217	357	254	777	1e-100	30	1_4	0.5597982708933718	0.7536372453928225	0.642414220752377
64362	115	1007	1217	253	277	754	1e-120	40	3	0.5872274143302181	0.7313288069835111	0.6514038876889848
102507	79	1536	1217	700	195	836	1e-40	30	2	0.4829578278451762	0.8108632395732299	0.6053584359160029
93476	107	1218	1217	455	268	763	1e-60	30	5	0.5134589502018843	0.7400581959262852	0.6062773142630115
64898	131	977	1217	251	305	726	1e-120	40	5	0.5663026521060842	0.7041707080504365	0.6277561608300909
71352	96	1062	1217	287	256	775	1e-100	30	1_6	0.5880121396054628	0.7516973811833172	0.659855257556407
95798	77	2004	1217	1142	169	862	1e-20	30	2	0.3966866083755177	0.8360814742967992	0.5380774032459426
77573	77	2269	1217	1386	148	883	1e-05	30	2	0.36532892014894497	0.8564500484966052	0.5121809744779582
65314	143	968	1217	244	307	724	1e-120	40	8	0.567843137254902	0.7022308438409312	0.6279271465741545
94479	119	1220	1217	459	270	761	1e-60	30	8	0.5107382550335571	0.7381183317167799	0.603728679095597
71491	97	1059	1217	286	258	773	1e-100	30	1_8	0.5869400151860289	0.7497575169738119	0.6584327086882454
103533	86	1367	1217	568	232	799	1e-40	30	3	0.4996873045653533	0.7749757516973812	0.6076045627376426
97782	81	1797	1217	959	193	838	1e-20	30	3	0.421105527638191	0.8128031037827352	0.5547831843760345
63763	115	1084	1217	321	268	763	1e-120	50	1_2	0.5643491124260355	0.7400581959262852	0.6403692824171212
80540	79	1836	1217	985	180	851	1e-05	30	3	0.42212301587301587	0.8254122211445198	0.5585822120118149
71611	100	1057	1217	284	258	773	1e-100	30	2	0.5878326996197719	0.7497575169738119	0.658994032395567
71994	103	1045	1217	284	270	761	1e-100	30	3	0.5787072243346008	0.7381183317167799	0.648763853367434
63974	119	1030	1217	267	268	763	1e-120	50	1_4	0.5878274268104776	0.7400581959262852	0.6552168312580506
105032	97	1284	1217	494	241	790	1e-40	30	5	0.5180327868852459	0.7662463627546072	0.6181533646322379
83270	90	1674	1217	847	204	827	1e-05	30	5	0.44036208732694354	0.8021338506304558	0.5685802681333791
99897	92	1648	1217	826	209	822	1e-20	30	5	0.44264943457189015	0.7972841901066925	0.5692520775623269
72649	119	1009	1217	280	302	729	1e-100	30	5	0.5560640732265446	0.7070805043646945	0.6225448334756618
90888	78	1513	1217	693	211	820	1e-60	40	1_2	0.4756380510440835	0.7953443258971872	0.5952813067150635
64143	120	1030	1217	267	268	763	1e-120	50	1_6	0.5878274268104776	0.7400581959262852	0.6552168312580506
73204	127	994	1217	267	304	727	1e-100	30	8	0.5600924499229584	0.7051406401551892	0.6243022756547876
106390	110	1247	1217	484	268	763	1e-40	30	8	0.5036303630363036	0.7400581959262852	0.5993715632364492
64273	120	1020	1217	257	268	763	1e-120	50	1_8	0.592391304347826	0.7400581959262852	0.6580422595946529
85254	98	1606	1217	796	221	810	1e-05	30	8	0.4433497536945813	0.7856450048496605	0.5668299510146956
101681	100	1591	1217	783	223	808	1e-20	30	8	0.4454244762954796	0.7837051406401552	0.5680140597539542
64367	122	1008	1217	255	278	753	1e-120	50	2	0.5855365474339036	0.7303588748787585	0.6499784203711697
91451	88	1375	1217	557	213	818	1e-60	40	1_4	0.5151133501259446	0.7934044616876819	0.6246659030164184
64647	127	1006	1217	253	278	753	1e-120	50	3	0.5864485981308412	0.7303588748787585	0.6505399568034558
71132	95	1172	1217	395	254	777	1e-100	40	1_2	0.5448807854137447	0.7536372453928225	0.6324786324786326
65140	134	978	1217	251	304	727	1e-120	50	5	0.5670826833073322	0.7051406401551892	0.6286208387375701
71413	98	1131	1217	357	257	774	1e-100	40	1_4	0.5576368876080692	0.7507274490785645	0.6399338569656883
91812	90	1370	1217	562	223	808	1e-60	40	1_6	0.5072190834902699	0.7837051406401552	0.6158536585365852
65548	139	972	1217	250	309	722	1e-120	50	8	0.5636221701795472	0.7002909796314258	0.6245674740484429
101261	72	2119	1217	1238	150	881	1e-40	40	1_2	0.3882767739092111	0.8545101842870999	0.5339393939393939
71639	102	1056	1217	287	262	769	1e-100	40	1_6	0.5834597875569044	0.7458777885548011	0.6547467007237121
92071	91	1367	1217	560	224	807	1e-60	40	1_8	0.507228158390949	0.7827352085354026	0.6155606407322654
64268	122	1038	1217	280	273	758	1e-120	60	1_2	0.5781845919145691	0.7352085354025218	0.6473099914602903
71782	105	1053	1217	286	264	767	1e-100	40	1_8	0.5823842065299925	0.7439379243452958	0.6533219761499148
93517	67	2439	1217	1551	143	888	1e-20	40	1_2	0.3439194422927963	0.8612997090203686	0.49155826183227236
73160	67	2524	1217	1636	143	888	1e-05	40	1_2	0.3329583802024747	0.8612997090203686	0.48025959978366684
64465	126	1025	1217	267	273	758	1e-120	60	1_4	0.5839753466872111	0.7352085354025218	0.6509231429798197
71899	107	1041	1217	284	274	757	1e-100	40	2	0.5756653992395437	0.7342386032977691	0.6453537936913896
92260	94	1359	1217	556	228	803	1e-60	40	2	0.5059861373660995	0.7788554801163918	0.6134453781512604
102127	82	1929	1217	1059	161	870	1e-40	40	1_4	0.41626794258373206	0.8438409311348206	0.5575136174303108
64628	128	1025	1217	267	273	758	1e-120	60	1_6	0.5839753466872111	0.7352085354025218	0.6509231429798197
72271	111	1036	1217	282	277	754	1e-100	40	3	0.5742574257425742	0.7313288069835111	0.6433447098976108
64750	130	1015	1217	257	273	758	1e-120	60	1_8	0.5885093167701864	0.7352085354025218	0.653730056058646
92927	101	1285	1217	483	229	802	1e-60	40	3	0.5297225891677675	0.7778855480116392	0.6302554027504912
94938	78	2251	1217	1365	145	886	1e-20	40	1_4	0.36978297161936563	0.8593598448108632	0.5170703238984535
72896	125	1016	1217	280	295	736	1e-100	40	5	0.5614035087719298	0.7138700290979632	0.6285226302305721
75989	76	2288	1217	1402	145	886	1e-05	40	1_4	0.3641594739005343	0.8593598448108632	0.5115473441108546
64843	133	1011	1217	253	273	758	1e-120	60	2	0.5903426791277259	0.7352085354025218	0.6548596112311016
73432	137	1000	1217	267	298	733	1e-100	40	8	0.5647149460708782	0.7109602327837051	0.6294547015886647
102659	82	1595	1217	755	191	840	1e-40	40	1_6	0.47032474804031354	0.8147429679922406	0.5963791267305645
93953	116	1216	1217	458	273	758	1e-60	40	5	0.5090664875755541	0.7352085354025218	0.6015873015873016
65122	135	990	1217	249	290	741	1e-120	60	3	0.57890625	0.7187196896217265	0.6412808308091735
65602	142	968	1217	249	312	719	1e-120	60	5	0.56171875	0.6973811833171678	0.6222414539160536
95781	79	2038	1217	1171	164	867	1e-20	40	1_6	0.39373297002724794	0.8409311348205626	0.5363439529848438
77596	79	2267	1217	1383	147	884	1e-05	40	1_6	0.36619718309859156	0.8574199806013579	0.5132075471698113
71525	113	1165	1217	392	258	773	1e-100	50	1_2	0.5432185523541813	0.7497575169738119	0.6299918500407498
94945	130	1212	1217	458	277	754	1e-60	40	8	0.506380120886501	0.7313288069835111	0.5984126984126985
103005	84	1517	1217	685	199	832	1e-40	40	1_8	0.48484848484848486	0.8069835111542192	0.6057517291590826
66005	153	963	1217	246	314	717	1e-120	60	8	0.5614722004698512	0.6954413191076625	0.621317157712305
71814	115	1055	1217	290	266	765	1e-100	50	1_4	0.579106737320212	0.7419980601357905	0.6505102040816326
78811	81	2202	1217	1333	162	869	1e-05	40	1_8	0.3675972927241963	0.8428709990300679	0.5119293078055964
96471	81	1991	1217	1136	176	855	1e-20	40	1_8	0.39455468389478543	0.8292919495635306	0.5347091932457786
65006	137	1019	1217	278	290	741	1e-120	70	1_2	0.5660809778456837	0.7187196896217265	0.6333333333333333
103291	85	1443	1217	612	200	831	1e-40	40	2	0.5057821059038344	0.8060135790494666	0.6215407629020194
72032	117	1051	1217	286	266	765	1e-100	50	1_6	0.5808656036446469	0.7419980601357905	0.651618398637138
91630	94	1509	1217	692	214	817	1e-60	50	1_2	0.4741729541497388	0.7924345295829291	0.5933188090050835
65207	143	1004	1217	263	290	741	1e-120	70	1_4	0.5726429675425039	0.7187196896217265	0.6374193548387097
72166	117	1048	1217	285	268	763	1e-100	50	1_8	0.5797872340425532	0.7400581959262852	0.6501917341286749
79774	81	2127	1217	1259	163	868	1e-05	40	2	0.37903930131004365	0.8419010669253152	0.5227341162300512
97039	81	1894	1217	1045	182	849	1e-20	40	2	0.40895953757225434	0.8234723569350145	0.5465078854200194
104305	96	1374	1217	573	230	801	1e-40	40	3	0.4993765586034913	0.7769156159068865	0.6079696394686906
65360	145	1001	1217	263	293	738	1e-120	70	1_6	0.5703245749613601	0.7158098933074685	0.6348387096774193
72283	118	1036	1217	283	278	753	1e-100	50	2	0.5730593607305936	0.7303588748787585	0.6422174840085287
92176	99	1372	1217	567	226	805	1e-60	50	1_4	0.5037546933667084	0.7807953443258971	0.6124001521491061
65471	145	991	1217	253	293	738	1e-120	70	1_8	0.5747663551401869	0.7158098933074685	0.6375809935205183
82693	91	1710	1217	878	199	832	1e-05	40	3	0.4358302776322682	0.8069835111542192	0.5659863945578232
72624	121	1036	1217	283	278	753	1e-100	50	3	0.5730593607305936	0.7303588748787585	0.6422174840085287
98968	92	1679	1217	849	201	830	1e-20	40	3	0.44148936170212766	0.8050436469447139	0.5702507729302645
105787	111	1266	1217	484	249	782	1e-40	40	5	0.5161716171617162	0.7584869059165859	0.6142969363707776
65555	145	991	1217	253	293	738	1e-120	70	2	0.5747663551401869	0.7158098933074685	0.6375809935205183
73200	128	1015	1217	281	297	734	1e-100	50	5	0.5594512195121951	0.7119301648884578	0.6265471617584294
65801	145	983	1217	245	293	738	1e-120	70	3	0.5783699059561128	0.7158098933074685	0.6397919375812744
92534	102	1346	1217	546	231	800	1e-60	50	1_6	0.507292327203551	0.7759456838021338	0.6134969325153374
85357	109	1536	1217	756	251	780	1e-05	40	5	0.43648573027420257	0.7565470417070805	0.553584102200142
73724	135	1000	1217	267	298	733	1e-100	50	8	0.5647149460708782	0.7109602327837051	0.6294547015886647
66238	147	974	1217	240	297	734	1e-120	70	5	0.5774980330448466	0.7119301648884578	0.6377063423110338
107103	122	1235	1217	474	270	761	1e-40	40	8	0.5056478405315614	0.7381183317167799	0.6001577287066246
101117	109	1515	1217	735	251	780	1e-20	40	5	0.4416761041902605	0.7565470417070805	0.5577404361816232
66625	157	957	1217	228	302	729	1e-120	70	8	0.5790309769658459	0.7070805043646945	0.6366812227074237
87303	120	1509	1217	730	252	779	1e-05	40	8	0.44236229415105055	0.7555771096023278	0.5580229226361031
92799	102	1340	1217	540	231	800	1e-60	50	1_8	0.5092297899427116	0.7759456838021338	0.6149116064565718
72188	121	1103	1217	333	261	770	1e-100	60	1_2	0.5645161290322581	0.7468477206595538	0.6430062630480167
102844	120	1500	1217	721	252	779	1e-20	40	8	0.444634703196347	0.7555771096023278	0.5598275242544016
65945	153	969	1217	233	295	736	1e-120	80	1_2	0.5822784810126582	0.7138700290979632	0.6413943355119825
72462	123	1053	1217	293	271	760	1e-100	60	1_4	0.5740181268882175	0.7371483996120272	0.6454352441613588
92984	102	1338	1217	540	233	798	1e-60	50	2	0.5079567154678549	0.7740058195926285	0.6133743274404304
66152	160	947	1217	211	295	736	1e-120	80	1_4	0.5925925925925926	0.7138700290979632	0.6476022877254729
72665	125	1046	1217	286	271	760	1e-100	60	1_6	0.5770690964312832	0.7371483996120272	0.6473594548551959
102354	86	1949	1217	1076	158	873	1e-40	50	1_2	0.4143331751305173	0.8467507274490785	0.5564053537284894
93626	109	1256	1217	479	254	777	1e-60	50	3	0.5145695364238411	0.7536372453928225	0.6115702479338844
