cluster_id	nb_of_protein	number_of_genome	number_of_genome_in_valid_branches	unclassified_genome	nb_polyprotein	number_leaves_in_subtree	homogeneity	shared_taxonomy	valid_branches	inflation	coverage	evalue	unclassified_cluster	first_node
1	459	414	412	0	1	2746	0.15003641660597233	Viruses	ssRNA viruses|ssDNA viruses	1_2	20	1e-50	False	Viruses
4	266	201	57	0	3	191	0.29842931937172773	Viruses	Dicistroviridae|Picornaviridae|Iflaviridae	1_2	20	1e-50	False	Viruses
8	224	144	104	0	21	2109	0.049312470365101946	Viruses	ssRNA viruses|dsRNA viruses	1_2	20	1e-50	False	Viruses
42	152	151	149	0	4	150	0.9933333333333333	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales	Alphaflexiviridae|Gammaflexiviridae|Betaflexiviridae	1_2	20	1e-50	False	ssRNA viruses
43	150	149	137	0	122	137	1.0	Viruses	Potyvirus|Bymovirus|Poacevirus|Tritimovirus|Macluravirus|Rymovirus|Ipomovirus|Brambyvirus	1_2	20	1e-50	False	Viruses
50	137	129	102	0	85	103	0.9902912621359223	Viruses	Passerivirus|Hunnivirus|Teschovirus|Aquamavirus|Torchivirus|Megrivirus|Mischivirus|Sapelovirus|Kobuvirus|Aphthovirus|Cosavirus|Kunsagivirus|Rosavirus|Pasivirus|Erbovirus|Mosavirus|Sicinivirus|Senecavirus|Cardiovirus|Oscivirus|Dicipivirus|Avisivirus|Parechovirus|Potamipivirus|Tremovirus|Enterovirus|Sakobuvirus|Gallivirus|Rabovirus|Limnipivirus|Avihepatovirus|Hepatovirus	1_2	20	1e-50	False	Viruses
55	127	66	59	0	29	72	0.8194444444444444	Viruses	Sobemovirus|Luteoviridae|Polemovirus|Barnaviridae	1_2	20	1e-50	False	Viruses
69	120	119	119	0	1	364	0.3269230769230769	Viruses;ssDNA viruses;Geminiviridae;Begomovirus	Begomovirus	1_2	20	1e-50	False	ssDNA viruses
70	120	119	119	0	1	364	0.3269230769230769	Viruses;ssDNA viruses;Geminiviridae;Begomovirus	Begomovirus	1_2	20	1e-50	False	ssDNA viruses
80	110	89	40	0	68	41	0.975609756097561	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Rio Bravo virus group|Yellow fever virus group|Seaborne tick-borne virus group|tick-borne encephalitis virus group|Japanese encephalitis virus group|Dengue virus group|mosquito-borne viruses|Kokobera virus group|Ntaya virus group|Modoc virus group	1_2	20	1e-50	False	ssRNA viruses
172	82	36	35	0	23	36	0.9722222222222222	Viruses;Retro-transcribing viruses;Retroviridae	Betaretrovirus|Deltaretrovirus|Alpharetrovirus|Lentivirus	1_2	20	1e-50	False	Retro-transcribing viruses
182	80	78	75	0	1	1975	0.0379746835443038	Viruses	Siphoviridae|Podoviridae|Myoviridae	1_2	20	1e-50	False	Viruses
188	79	43	30	0	1	30	1.0	Viruses	Avastrovirus|Mamastrovirus	1_2	20	1e-50	False	Viruses
222	73	70	70	0	1	135	0.5185185185185185	Viruses;Retro-transcribing viruses	Caulimoviridae|Retroviridae	1_2	20	1e-50	False	Retro-transcribing viruses
240	71	50	38	0	14	38	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Coronaviridae;Coronavirinae	Gammacoronavirus|Alphacoronavirus|Betacoronavirus	1_2	20	1e-50	False	ssRNA viruses
391	53	53	48	0	34	48	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae	Torradovirus|Sequivirus|Sadwavirus|Comovirinae|Cheravirus|Waikavirus	1_2	20	1e-50	False	ssRNA viruses
534	43	24	14	0	34	14	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Alphavirus	SFV complex|WEEV complex|VEEV complex|EEEV complex	1_2	20	1e-50	False	ssRNA viruses
563	42	32	29	0	17	29	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Caliciviridae	Sapovirus|Vesivirus|Norovirus|Lagovirus|Nebovirus	1_2	20	1e-50	False	ssRNA viruses
576	41	41	34	0	5	34	1.0	Viruses	Maculavirus|Marafivirus|Tymovirus	1_2	20	1e-50	False	Viruses
677	38	38	25	0	1	25	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Astroviridae	Mamastrovirus	1_2	20	1e-50	False	ssRNA viruses
690	38	16	16	0	7	17	0.9411764705882353	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Arteriviridae	Arteriviridae	1_2	20	1e-50	False	ssRNA viruses
691	37	27	26	0	12	61	0.4262295081967213	Viruses;Retro-transcribing viruses;Retroviridae	Orthoretrovirinae|Spumaretrovirinae	1_2	20	1e-50	False	Retro-transcribing viruses
755	34	24	14	0	20	14	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Alphavirus	SFV complex|WEEV complex|VEEV complex|EEEV complex	1_2	20	1e-50	False	ssRNA viruses
789	33	33	32	0	1	32	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae	Arenavirus (unclassified Arenaviridae)|Mammarenavirus	1_2	20	1e-50	False	ssRNA viruses
852	31	31	30	0	1	1975	0.015189873417721518	Viruses	Podoviridae|Siphoviridae|Myoviridae	1_2	20	1e-50	False	Viruses
881	30	30	29	0	2	65	0.4461538461538462	Viruses	Phenuiviridae|Peribunyaviridae	1_2	20	1e-50	False	Viruses
949	28	26	25	0	1	1626	0.015375153751537515	Viruses	Siphoviridae|Myoviridae	1_2	20	1e-50	False	Viruses
1055	26	26	25	0	22	25	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Pegivirus|Hepacivirus	1_2	20	1e-50	False	ssRNA viruses
1149	24	24	24	0	1	24	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Bunyavirales;Hantaviridae;Orthohantavirus	Orthohantavirus	1_2	20	1e-50	False	ssRNA viruses
1571	19	18	18	0	10	18	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Comovirinae;Nepovirus	Nepovirus	1_2	20	1e-50	False	ssRNA viruses
2565	14	14	14	0	1	50	0.28	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Bunyavirales	Nairoviridae|Peribunyaviridae	1_2	20	1e-50	False	ssRNA viruses
2944	12	12	12	0	5	12	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Flaviviridae;Pestivirus	Pestivirus	1_2	20	1e-50	False	ssRNA viruses
3259	11	8	8	0	1	8	1.0	Viruses;Retro-transcribing viruses;Hepadnaviridae;Orthohepadnavirus	Orthohepadnavirus	1_2	20	1e-50	False	Retro-transcribing viruses
3276	11	9	9	0	8	9	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Comovirinae;Comovirus	Comovirus	1_2	20	1e-50	False	ssRNA viruses
4176	9	9	3	0	3	3	1.0	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus	Murine leukemia virus	1_2	20	1e-50	False	Retro-transcribing viruses
4471	8	8	8	0	1	51	0.1568627450980392	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Hepeviridae|Astroviridae	1_2	20	1e-50	False	ssRNA viruses
4479	8	8	7	0	2	7	1.0	Viruses;dsRNA viruses;Birnaviridae	Entomobirnavirus|Avibirnavirus|Blosnavirus|Aquabirnavirus	1_2	20	1e-50	False	dsRNA viruses
4502	8	8	8	0	7	8	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Torradovirus	Torradovirus	1_2	20	1e-50	False	ssRNA viruses
4622	8	7	7	0	1	8	0.875	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Deltaretrovirus	1_2	20	1e-50	False	Retro-transcribing viruses
4624	8	8	8	0	6	8	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Orthomyxoviridae	Influenzavirus B|Influenzavirus A	1_2	20	1e-50	False	ssRNA viruses
5184	7	7	7	0	2	27	0.25925925925925924	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae	Betaretrovirus|Gammaretrovirus	1_2	20	1e-50	False	Retro-transcribing viruses
5216	7	7	5	0	2	5	1.0	Viruses	Alphanodavirus	1_2	20	1e-50	False	Viruses
5375	7	7	7	0	1	7	1.0	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus	Iteradensovirus	1_2	20	1e-50	False	ssDNA viruses
6354	6	6	3	0	1	1335	0.0022471910112359553	Viruses	ssRNA positive-strand viruses, no DNA stage	1_2	20	1e-50	False	Viruses
7388	5	5	5	0	4	5	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Potyviridae;Bymovirus	Bymovirus	1_2	20	1e-50	False	ssRNA viruses
9075	4	4	4	0	2	4	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Cheravirus	Cheravirus	1_2	20	1e-50	False	ssRNA viruses
9261	4	4	4	0	2	53	0.07547169811320754	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae	Secoviridae	1_2	20	1e-50	False	ssRNA viruses
9268	4	4	4	0	1	9	0.4444444444444444	Viruses;dsDNA viruses, no RNA stage;Adenoviridae;Atadenovirus	Atadenovirus	1_2	20	1e-50	False	dsDNA viruses, no RNA stage
9327	4	4	4	0	3	4	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Comovirinae;Fabavirus	Fabavirus	1_2	20	1e-50	False	ssRNA viruses
10075	4	4	4	0	1	4	1.0	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Lentivirus;Primate lentivirus group	Primate lentivirus group	1_2	20	1e-50	False	Retro-transcribing viruses
12801	3	3	3	0	1	3	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Benyviridae;Benyvirus	Benyvirus	1_2	20	1e-50	False	ssRNA viruses
13626	3	3	3	0	1	10	0.3	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus	Betaretrovirus	1_2	20	1e-50	False	Retro-transcribing viruses
17293	3	3	2	0	1	3	0.6666666666666666	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae	Phic31virus	1_2	20	1e-50	False	dsDNA viruses, no RNA stage
19763	2	2	2	0	1	4	0.5	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Alphatetraviridae|Permutotetraviridae	1_2	20	1e-50	False	ssRNA viruses
34279	1	1	1	0	1	8	0.125	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Deltaretrovirus	1_2	20	1e-50	False	Retro-transcribing viruses
37762	1	1	1	0	1	1080	0.000925925925925926	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae	Siphoviridae	1_2	20	1e-50	False	dsDNA viruses, no RNA stage
41368	1	1	1	0	1	1	1.0	Viruses;dsDNA viruses, no RNA stage;Phycodnaviridae;Coccolithovirus	Coccolithovirus	1_2	20	1e-50	False	dsDNA viruses, no RNA stage
