cluster_id	nb_of_protein	number_of_genome	number_of_genome_in_valid_branches	unclassified_genome	nb_polyprotein	number_leaves_in_subtree	homogeneity	shared_taxonomy	valid_branches	inflation	coverage	evalue	unclassified_cluster	first_node
0	576	494	487	0	1	3043	0.16003943476832075	Viruses	Satellites|ssRNA viruses|ssDNA viruses|Genomoviridae	2	20	1e-05	False	Viruses
3	354	350	349	0	1	2746	0.1270939548434086	Viruses	ssRNA viruses|ssDNA viruses	2	20	1e-05	False	Viruses
4	351	347	346	0	1	2746	0.1260014566642389	Viruses	ssRNA viruses|ssDNA viruses	2	20	1e-05	False	Viruses
18	235	235	29	0	1	162	0.17901234567901234	Viruses	Marnaviridae|Labyrnavirus (unassigned Picornavirales)|Picornaviridae|Dicistroviridae|Bacillarnavirus (unassigned Picornavirales)	2	20	1e-05	False	Viruses
19	234	170	128	0	5	2109	0.06069227121858701	Viruses	ssRNA viruses|dsRNA viruses	2	20	1e-05	False	Viruses
21	231	231	61	0	24	80	0.7625	Viruses	Secoviridae|Dicistroviridae	2	20	1e-05	False	Viruses
22	229	164	59	0	29	72	0.8194444444444444	Viruses	Sobemovirus|Luteoviridae|Polemovirus|Barnaviridae	2	20	1e-05	False	Viruses
73	155	154	149	0	4	150	0.9933333333333333	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Alphaflexiviridae|Gammaflexiviridae|Betaflexiviridae	2	20	1e-05	False	ssRNA viruses
78	150	149	137	0	122	137	1.0	Viruses	Potyvirus|Bymovirus|Poacevirus|Tritimovirus|Macluravirus|Rymovirus|Ipomovirus|Brambyvirus	2	20	1e-05	False	Viruses
81	145	137	102	0	85	103	0.9902912621359223	Viruses	Passerivirus|Hunnivirus|Teschovirus|Aquamavirus|Torchivirus|Megrivirus|Mischivirus|Sapelovirus|Kobuvirus|Aphthovirus|Cosavirus|Kunsagivirus|Rosavirus|Pasivirus|Erbovirus|Mosavirus|Sicinivirus|Senecavirus|Cardiovirus|Oscivirus|Dicipivirus|Avisivirus|Parechovirus|Potamipivirus|Tremovirus|Enterovirus|Sakobuvirus|Gallivirus|Rabovirus|Limnipivirus|Avihepatovirus|Hepatovirus	2	20	1e-05	False	Viruses
143	110	89	40	0	68	41	0.975609756097561	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Rio Bravo virus group|Yellow fever virus group|Seaborne tick-borne virus group|tick-borne encephalitis virus group|Japanese encephalitis virus group|Dengue virus group|mosquito-borne viruses|Kokobera virus group|Ntaya virus group|Modoc virus group	2	20	1e-05	False	ssRNA viruses
249	86	48	30	0	1	30	1.0	Viruses	Avastrovirus|Mamastrovirus	2	20	1e-05	False	Viruses
272	83	82	35	0	2	164	0.21341463414634146	Viruses	Picornaviridae|Iflaviridae	2	20	1e-05	False	Viruses
287	81	79	76	0	1	1975	0.03848101265822785	Viruses	Siphoviridae|Podoviridae|Myoviridae	2	20	1e-05	False	Viruses
367	73	70	70	0	1	135	0.5185185185185185	Viruses;Retro-transcribing viruses	Caulimoviridae|Retroviridae	2	20	1e-05	False	Retro-transcribing viruses
388	71	50	38	0	14	38	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Coronaviridae;Coronavirinae	Gammacoronavirus|Alphacoronavirus|Betacoronavirus	2	20	1e-05	False	ssRNA viruses
768	47	47	30	0	1	30	1.0	Viruses	Avastrovirus|Mamastrovirus	2	20	1e-05	False	Viruses
892	43	24	14	0	34	14	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Alphavirus	SFV complex|WEEV complex|VEEV complex|EEEV complex	2	20	1e-05	False	ssRNA viruses
1000	40	40	34	0	5	34	1.0	Viruses	Maculavirus|Marafivirus|Tymovirus	2	20	1e-05	False	Viruses
1104	38	16	16	0	7	17	0.9411764705882353	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Arteriviridae	Arteriviridae	2	20	1e-05	False	ssRNA viruses
1130	37	34	32	0	1	1626	0.01968019680196802	Viruses	Siphoviridae|Myoviridae	2	20	1e-05	False	Viruses
1196	35	35	30	0	14	30	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Caliciviridae	Sapovirus|St-Valerien swine virus|Vesivirus|Norovirus|Lagovirus|Nebovirus	2	20	1e-05	False	ssRNA viruses
1197	35	16	16	0	6	26	0.6153846153846154	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae	Betaretrovirus|Deltaretrovirus|Alpharetrovirus	2	20	1e-05	False	Retro-transcribing viruses
1198	35	35	30	0	2	65	0.46153846153846156	Viruses	Phenuiviridae|Peribunyaviridae	2	20	1e-05	False	Viruses
1243	34	24	14	0	20	14	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Alphavirus	SFV complex|WEEV complex|VEEV complex|EEEV complex	2	20	1e-05	False	ssRNA viruses
1285	33	24	23	0	12	61	0.3770491803278688	Viruses;Retro-transcribing viruses;Retroviridae	Orthoretrovirinae|Spumaretrovirinae	2	20	1e-05	False	Retro-transcribing viruses
1294	33	33	32	0	1	32	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae	Arenavirus (unclassified Arenaviridae)|Mammarenavirus	2	20	1e-05	False	ssRNA viruses
1400	31	26	22	0	16	36	0.6111111111111112	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Closteroviridae	Ampelovirus|Velarivirus|Closterovirus|Crinivirus	2	20	1e-05	False	ssRNA viruses
1680	26	26	25	0	22	25	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Pegivirus|Hepacivirus	2	20	1e-05	False	ssRNA viruses
1681	26	26	7	0	1	39	0.1794871794871795	Viruses	Sfi21dt1virus|Lambdavirus|Wbetavirus	2	20	1e-05	False	Viruses
1874	24	24	24	0	1	24	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Bunyavirales;Hantaviridae;Orthohantavirus	Orthohantavirus	2	20	1e-05	False	ssRNA viruses
2822	18	18	18	0	10	18	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Comovirinae;Nepovirus	Nepovirus	2	20	1e-05	False	ssRNA viruses
3282	16	8	8	0	8	8	1.0	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Deltaretrovirus	2	20	1e-05	False	Retro-transcribing viruses
3874	14	10	9	0	2	9	1.0	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Lentivirus	Feline lentivirus group|Equine lentivirus group|Ovine/caprine lentivirus group|Primate lentivirus group|Bovine lentivirus group	2	20	1e-05	False	Retro-transcribing viruses
3935	14	14	14	0	1	50	0.28	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Bunyavirales	Nairoviridae|Peribunyaviridae	2	20	1e-05	False	ssRNA viruses
4139	13	13	9	0	2	76	0.11842105263157894	Viruses	Hepeviridae|Togaviridae|Astroviridae	2	20	1e-05	False	Viruses
4163	13	13	13	0	8	18	0.7222222222222222	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Comovirinae;Nepovirus	Nepovirus	2	20	1e-05	False	ssRNA viruses
4548	12	12	12	0	5	12	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Flaviviridae;Pestivirus	Pestivirus	2	20	1e-05	False	ssRNA viruses
4583	12	9	8	0	1	8	1.0	Viruses;Retro-transcribing viruses;Hepadnaviridae	Orthohepadnavirus	2	20	1e-05	False	Retro-transcribing viruses
5035	11	11	10	0	3	10	1.0	Viruses	Vesivirus	2	20	1e-05	False	Viruses
5037	11	9	9	0	8	9	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Comovirinae;Comovirus	Comovirus	2	20	1e-05	False	ssRNA viruses
5771	10	10	10	0	1	1975	0.005063291139240506	Viruses;dsDNA viruses, no RNA stage;Caudovirales	Siphoviridae|Podoviridae|Myoviridae	2	20	1e-05	False	dsDNA viruses, no RNA stage
6284	9	8	8	0	1	9	0.8888888888888888	Viruses;dsDNA viruses, no RNA stage;Adenoviridae;Atadenovirus	Atadenovirus	2	20	1e-05	False	dsDNA viruses, no RNA stage
6453	9	9	3	0	3	3	1.0	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus	Murine leukemia virus	2	20	1e-05	False	Retro-transcribing viruses
6856	8	8	7	0	2	27	0.25925925925925924	Viruses;Retro-transcribing viruses;Retroviridae	Betaretrovirus|Gammaretrovirus	2	20	1e-05	False	Retro-transcribing viruses
6953	8	8	5	0	2	5	1.0	Viruses	Alphanodavirus	2	20	1e-05	False	Viruses
6955	8	8	7	0	1	7	1.0	Viruses;ssDNA viruses;Parvoviridae;Densovirinae	Iteradensovirus	2	20	1e-05	False	ssDNA viruses
6956	8	8	7	0	2	7	1.0	Viruses;dsRNA viruses;Birnaviridae	Entomobirnavirus|Avibirnavirus|Blosnavirus|Aquabirnavirus	2	20	1e-05	False	dsRNA viruses
7015	8	8	8	0	7	8	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Torradovirus	Torradovirus	2	20	1e-05	False	ssRNA viruses
7233	8	7	7	0	1	8	0.875	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Deltaretrovirus	2	20	1e-05	False	Retro-transcribing viruses
7234	8	8	8	0	6	8	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Orthomyxoviridae	Influenzavirus B|Influenzavirus A	2	20	1e-05	False	ssRNA viruses
