taxon_id	peptide_id	feature_type	strand	len	nb_proteins_annotated_by_pep	protein_ids	polyprotein_outline	nb_protein_annotated_by_pep	cover_by_domain	overlapped_by_domain	length_covered_by_fully_included_domains	length_covered_by_all_domains	First_node	taxonomy
11788	NP_955593.1	mat_peptide	1	390	1	NP_057866.1	True	1	True	False	112	112	Retro-transcribing viruses	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
11788	NP_955595.1	mat_peptide	1	2238	1	NP_057866.1	True	1	True	False	843	843	Retro-transcribing viruses	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
11788	NP_955594.1	mat_peptide	1	255	1	NP_057866.1	True	1	True	False	84	84	Retro-transcribing viruses	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
10815	NP_951034.1	mat_peptide	1	723	1	NP_047215.2	False	1	False	False	0	0	ssDNA viruses	['Viruses', 'ssDNA viruses', 'Geminiviridae', 'Begomovirus']
10815	NP_951035.1	mat_peptide	-1	387	1	NP_047217.2	False	1	False	False	0	0	ssDNA viruses	['Viruses', 'ssDNA viruses', 'Geminiviridae', 'Begomovirus']
10815	NP_951036.1	mat_peptide	-1	396	1	NP_047216.1	False	1	False	False	0	0	ssDNA viruses	['Viruses', 'ssDNA viruses', 'Geminiviridae', 'Begomovirus']
390845	YP_009259323.1	mat_peptide	1	1296	2	YP_009259320.1|YP_003029843.1	True	2	True	False	214	214	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_003084122.1	mat_peptide	1	390	2	YP_009259320.1|YP_003029843.1	True	2	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259328.1	mat_peptide	1	405	1	YP_003029843.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259324.1	mat_peptide	1	1170	2	YP_009259320.1|YP_003029843.1	True	2	True	False	364	364	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259331.1	mat_peptide	1	2664	1	YP_003029843.1	True	1	True	False	1034	1034	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259325.1	mat_peptide	1	621	1	YP_003029843.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259332.1	mat_peptide	1	1953	1	YP_009259320.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259327.1	mat_peptide	1	1761	1	YP_003029843.1	True	1	True	False	567	567	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259330.1	mat_peptide	1	771	1	YP_003029843.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_003084123.1	mat_peptide	1	429	2	YP_009259320.1|YP_003029843.1	True	2	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259321.1	mat_peptide	1	333	2	YP_009259320.1|YP_003029843.1	True	2	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259329.1	mat_peptide	1	69	1	YP_003029843.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259322.1	mat_peptide	1	243	2	YP_009259320.1|YP_003029843.1	True	2	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259326.1	mat_peptide	1	447	1	YP_003029843.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_003084124.1	mat_peptide	1	186	2	YP_009259320.1|YP_003029843.1	True	2	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
2003501	YP_009121756.1	mat_peptide	1	792	1	YP_009121743.1	True	1	True	False	391	391	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121761.1	mat_peptide	1	1092	1	YP_009121743.1	True	1	True	False	195	195	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121757.1	mat_peptide	1	687	1	YP_009121743.1	True	1	True	False	280	280	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121760.1	mat_peptide	1	489	1	YP_009121743.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121764.1	mat_peptide	1	627	1	YP_009121743.1	True	1	True	False	174	174	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121754.1	mat_peptide	1	264	1	YP_009121743.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121755.1	mat_peptide	1	192	1	YP_009121743.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121758.1	mat_peptide	1	783	1	YP_009121743.1	True	1	True	False	203	203	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121762.1	mat_peptide	1	270	1	YP_009121743.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121763.1	mat_peptide	1	60	1	YP_009121743.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121759.1	mat_peptide	1	96	1	YP_009121743.1	True	1	False	False	0	0	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121765.1	mat_peptide	1	1401	1	YP_009121743.1	True	1	True	False	556	556	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
10497	Unknown	sig_peptide	-1	57	1	NP_042708.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	54	1	NP_042709.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955559.1	mat_peptide	-1	138	1	NP_042781.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	42	1	NP_042711.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	51	1	NP_042833.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955556.1	mat_peptide	-1	192	1	NP_042710.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955557.1	mat_peptide	-1	312	1	NP_042711.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955562.1	mat_peptide	-1	936	1	NP_042833.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955558.1	mat_peptide	1	291	1	NP_042730.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955554.1	mat_peptide	-1	255	1	NP_042708.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	60	1	NP_042781.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955555.1	mat_peptide	-1	318	1	NP_042709.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	1	63	1	NP_042730.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	54	1	NP_042710.1	False	1	False	False	0	0	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
41763	YP_054392.1	mat_peptide	1	729	1	YP_025106.1	True	1	True	False	144	144	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
