First_node	taxon_id	protein_id	strand	has_peptide	nb_peptides	nb_unannotated_part	nb_cleavage_sites	is_sub_protein	signal_peptide_scheme	len_first_peptide	first_pep_type	len_protein	taxonomy
ssRNA viruses	44158	NP_632024.1	1		5	0	4	False	False	None		3735	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	44158	YP_006491231.1	1		4	0	3	True	False	None		2406	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	44158	NP_632023.2	1		5	0	3	False	False	None		7500	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	11020	NP_597797.2	1		3	1	3	False	False	None		7236	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	11020	NP_054023.1	1		3	0	2	True	False	None		5385	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	11020	NP_054024.1	1		5	0	4	False	False	None		3720	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	11020	YP_006491241.1	1		4	0	3	True	False	None		2448	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	59305	YP_005351238.1	1		0	0	0	False	False	None		5517	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	59305	YP_005351239.1	1		0	0	0	False	False	None		3747	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	59305	YP_008901140.1	1		0	0	0	False	False	None		7371	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	37124	NP_690588.1	1		0	0	0	False	False	None		7425	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	37124	NP_690589.2	1		0	0	0	False	False	None		3747	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	37124	YP_006491243.1	1		1	1	1	True	False	None		2475	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11021	NP_632022.1	1		6	0	4	False	False	None		3726	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'EEEV complex']
ssRNA viruses	11021	YP_006491233.1	1		5	0	3	True	False	None		2505	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'EEEV complex']
ssRNA viruses	11021	NP_632020.1	1		4	0	2	True	False	None		5637	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'EEEV complex']
ssRNA viruses	11021	NP_632021.2	1		5	1	4	False	False	None		7482	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'EEEV complex']
ssRNA viruses	1231903	YP_006732326.1	1		0	0	0	False	False	None		5406	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
