First_node	taxon_id	peptide_id	feature_type	strand	start_as_prot	len	nb_peptides	signal_peptide_scheme	inclued_in_nb_prot	taxonomy
Retro-transcribing viruses	11788	NP_955595.1	mat_peptide	1	False	2238		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11788	NP_955594.1	mat_peptide	1	False	255		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11788	NP_955593.1	mat_peptide	1	False	390		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11867	NP_955602.1	mat_peptide	1	False	1275		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus', 'unclassified Alpharetrovirus']
Retro-transcribing viruses	11867	NP_955599.1	mat_peptide	1	True	468		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus', 'unclassified Alpharetrovirus']
Retro-transcribing viruses	11867	NP_955600.1	mat_peptide	1	False	189		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus', 'unclassified Alpharetrovirus']
Retro-transcribing viruses	11867	NP_955601.1	mat_peptide	1	False	636		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus', 'unclassified Alpharetrovirus']
Retro-transcribing viruses	11764	YP_009109692.1	mat_peptide	1	False	3591		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11764	YP_009109699.1	mat_peptide	1	False	159		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11764	YP_009109695.1	mat_peptide	1	False	1176		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11764	YP_009109701.1	mat_peptide	1	False	651		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11764	YP_009109694.1	mat_peptide	1	False	2031		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
