taxon_id	protein_id	polyprotein_outline	non_polyprotein_explanation	match_id	method	score	Dbxref	name	signature_desc	start_in_prot	end_in_prot	start	end	overlaps_cleavage_site	nb_of_cleavage_sites_overlapped	duplicated	overlaps_cleavage_site	OverlappingDistance	left_overlaps_peptide	right_overlaps_peptide	protein_fully_covered	nb_peptide_in_protein	nb_unannotated_part_in_protein	overlapping_distance	overlapping_side	overlapping_size_percentage
64280	NP_620045.1	True		2225	ProSiteProfiles	16.149	InterPro:IPR014001	PS51192	Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.	1646	1801	4934	5402	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2226	ProSiteProfiles	32.552	InterPro:IPR000487	PS51527	Flavivirus NS2B domain profile.	1333	1462	3995	4385	True	1	False	True	2	2	0	True	13	0	2		1.5384615384615385
64280	NP_620045.1	True		2227	Pfam	5.8E-67	InterPro:IPR011492	PF07652	Flavivirus DEAD domain	1650	1795	4946	5384	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2228	Pfam	4.1E-255	InterPro:IPR000208	PF00972	Flavivirus RNA-directed RNA polymerase	2731	3362	8189	10085	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2229	Pfam	4.1E-14	InterPro:IPR002535	PF01570	Flavivirus polyprotein propeptide	119	197	353	590	True	1	False	True	78	78	0	True	13	0	1		1.2658227848101267
64280	NP_620045.1	True		2230	Pfam	2.6E-14	InterPro:IPR000404	PF01350	Flavivirus non-structural protein NS4A	2093	2220	6275	6659	True	1	False	True	21	0	21	True	13	0	21		16.40625
64280	NP_620045.1	True		2231	Pfam	1.4E-24	InterPro:IPR001528	PF01349	Flavivirus non-structural protein NS4B	2223	2466	6665	7397	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2232	ProSiteProfiles	103.441	InterPro:IPR026490	PS51591	mRNA cap 0 and cap 1 methyltransferase (EC 2.1.1.56 and EC 2.1.1.57) domain profile.	2476	2740	7424	8219	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2233	Pfam	1.8E-18	InterPro:IPR027287	PF02832	Flavivirus glycoprotein, immunoglobulin-like domain	568	654	1700	1961	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2234	CDD	1.33979E-15		cd00046	DEXDc	1655	1783	4961	5348	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2235	SMART	4.5E-5	InterPro:IPR014001	SM00487		1623	1819	4865	5456	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2236	ProSiteProfiles	8.881	InterPro:IPR001650	PS51194	Superfamilies 1 and 2 helicase C-terminal domain profile.	1811	1982	5429	5945	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2237	ProSiteProfiles	16.59	InterPro:IPR007094	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	3004	3149	9008	9446	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2238	ProSiteProfiles	97.082	InterPro:IPR001850	PS51528	Flavivirus NS3 protease (NS3pro) domain profile.	1465	1643	4391	4928	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2239	Pfam	2.9E-13	InterPro:IPR002877	PF01728	FtsJ-like methyltransferase	2530	2699	7586	8096	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2240	CDD	4.97022E-42	InterPro:IPR027287	cd12149	Flavi_E_C	574	660	1718	1979	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2241	Pfam	5.3E-76	InterPro:IPR011998	PF00869	Flavivirus glycoprotein, central and dimerisation domains	274	563	818	1688	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2242	Pfam	2.1E-33	InterPro:IPR001850	PF00949	Peptidase S7, Flavivirus NS3 serine protease	1485	1632	4451	4895	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2243	Pfam	1.8E-91	InterPro:IPR001157	PF00948	Flavivirus non-structural Protein NS1	759	1102	2273	3305	False	0	False	False	0	0	0	True	13	0			
64280	NP_620045.1	True		2244	SMART	2.1E-7	InterPro:IPR001650	SM00490		1834	1927	5498	5780	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		523	ProSiteProfiles	9.767	InterPro:IPR001650	PS51194	Superfamilies 1 and 2 helicase C-terminal domain profile.	1808	1978	5420	5933	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		524	CDD	0.00496512	InterPro:IPR020846	cd06174	MFS	1137	1373	3407	4118	True	1	False	True	40	0	40	True	13	0	40		16.877637130801688
64285	NP_620044.1	True		525	Pfam	3.3E-99	InterPro:IPR001157	PF00948	Flavivirus non-structural Protein NS1	754	1098	2258	3293	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		526	Pfam	7.2E-257	InterPro:IPR000208	PF00972	Flavivirus RNA-directed RNA polymerase	2737	3372	8207	10115	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		527	ProSiteProfiles	14.822	InterPro:IPR007094	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	3012	3157	9032	9470	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		528	ProSiteProfiles	111.216	InterPro:IPR026490	PS51591	mRNA cap 0 and cap 1 methyltransferase (EC 2.1.1.56 and EC 2.1.1.57) domain profile.	2484	2748	7448	8243	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		529	Pfam	3.6E-14	InterPro:IPR002877	PF01728	FtsJ-like methyltransferase	2538	2707	7610	8120	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		530	CDD	6.36525E-43	InterPro:IPR027287	cd12149	Flavi_E_C	569	655	1703	1964	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		531	CDD	3.93142E-7	InterPro:IPR001650	cd00079	HELICc	1792	1934	5372	5801	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		532	ProSiteProfiles	21.821	InterPro:IPR000487	PS51527	Flavivirus NS2B domain profile.	1331	1463	3989	4388	True	1	False	True	3	3	0	True	13	0	3		2.2556390977443606
64285	NP_620044.1	True		533	Pfam	4.8E-26	InterPro:IPR001528	PF01349	Flavivirus non-structural protein NS4B	2225	2474	6671	7421	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		534	Pfam	6.6E-68	InterPro:IPR011492	PF07652	Flavivirus DEAD domain	1650	1795	4946	5384	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		535	Pfam	2.2E-73	InterPro:IPR011998	PF00869	Flavivirus glycoprotein, central and dimerisation domains	269	560	803	1679	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		536	CDD	2.13929E-16		cd00046	DEXDc	1653	1783	4955	5348	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		537	Pfam	1.1E-12	InterPro:IPR000404	PF01350	Flavivirus non-structural protein NS4A	2086	2220	6254	6659	True	1	False	True	19	0	19	True	13	0	19		14.074074074074074
64285	NP_620044.1	True		538	Pfam	5.2E-21	InterPro:IPR027287	PF02832	Flavivirus glycoprotein, immunoglobulin-like domain	563	647	1685	1940	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		539	ProSiteProfiles	78.389	InterPro:IPR001850	PS51528	Flavivirus NS3 protease (NS3pro) domain profile.	1464	1640	4388	4919	False	0	False	False	0	0	0	True	13	0			
64285	NP_620044.1	True		540	Pfam	4.2E-12	InterPro:IPR002535	PF01570	Flavivirus polyprotein propeptide	115	188	341	563	False	0	False	False	0	0	0	True	13	0			
