cluster_nb	nb_sequences	nb_seq_with_annotation	window	nb_protein_in_group	nb_of_cleavage_site	nb_cleavage_from_the_same_protein	standard_deviation	round_std	group_completeness	completeness_category	average_position_in_aln	position_max	position_min	group_index	aln_validity	confidence_score	confidence_score_threshold	cluster_with_isoforms_splitted	evalue	coverage	inflation	cleavages_sites_per_seq
3	11	8	30	2	2	0	4.0	4.0	25.0	from 0 to 25%	178.5	181	172	0	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	47.25	4	False	1e-60	60	1_8	
3	11	8	30	8	6	6	0.0	0.0	100.0	from 75% to 100%	560.5	559	558	1	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.140625	4	False	1e-60	60	1_8	
3	11	8	30	8	7	15	0.44536177141512334	0.0	100.0	from 75% to 100%	938.7727272727273	938	936	2	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.18749999999999645	4	False	1e-60	60	1_8	
16	2	1	30	1	1	0	0.0	0.0	100.0	from 75% to 100%	324.5	323	322	0	single annotated polyprotein	2.0	4	False	1e-60	60	1_8	
16	2	1	30	1	1	0	0.0	0.0	100.0	from 75% to 100%	1245.5	1244	1243	1	single annotated polyprotein	2.0	4	False	1e-60	60	1_8	
18	2	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	556.5	555	554	0	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
18	2	2	30	2	2	0	7.0	7.0	100.0	from 75% to 100%	1152.5	1158	1143	1	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	3.75	4	False	1e-60	60	1_8	
9	4	4	30	4	4	0	0.0	0.0	100.0	from 75% to 100%	84.5	83	82	0	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.3125	4	False	1e-60	60	1_8	
9	4	4	30	4	4	0	0.0	0.0	100.0	from 75% to 100%	156.5	155	154	1	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.3125	4	False	1e-60	60	1_8	
9	4	4	30	4	4	0	0.0	0.0	100.0	from 75% to 100%	425.5	424	423	2	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.3125	4	False	1e-60	60	1_8	
9	4	4	30	4	4	0	0.0	0.0	100.0	from 75% to 100%	658.5	657	656	3	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.3125	4	False	1e-60	60	1_8	
9	4	4	30	4	4	0	0.0	0.0	100.0	from 75% to 100%	940.5	939	938	4	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.3125	4	False	1e-60	60	1_8	
9	4	4	30	1	1	0	0.0	0.0	25.0	from 0 to 25%	1086.5	1085	1084	5	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	92.0	4	False	1e-60	60	1_8	
8	5	4	30	1	1	0	0.0	0.0	25.0	from 0 to 25%	158.5	157	156	0	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	92.0	4	False	1e-60	60	1_8	
8	5	4	30	3	3	0	0.0	0.0	75.0	from 50% to 75%	740.5	739	738	1	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	3.7777777777777777	4	False	1e-60	60	1_8	
8	5	4	30	3	3	0	1.699673171197595	2.0	75.0	from 50% to 75%	1280.8333333333333	1281	1276	2	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	3.9259259259259176	4	False	1e-60	60	1_8	
8	5	4	30	3	3	0	0.4714045207910317	0.0	75.0	from 50% to 75%	1307.8333333333333	1307	1305	3	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	3.7777777777777524	4	False	1e-60	60	1_8	
8	5	4	30	1	1	0	0.0	0.0	25.0	from 0 to 25%	1344.5	1343	1342	4	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	92.0	4	False	1e-60	60	1_8	
8	5	4	30	4	4	0	1.6583123951777	2.0	100.0	from 75% to 100%	1560.0	1560	1555	5	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.4375	4	False	1e-60	60	1_8	
13	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	408.5	407	406	0	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
13	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	471.5	470	469	1	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
13	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	772.5	771	770	2	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
13	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	1184.5	1183	1182	3	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
13	3	2	30	2	2	0	0.0	0.0	100.0	from 75% to 100%	1290.5	1289	1288	4	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.75	4	False	1e-60	60	1_8	
13	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	1618.5	1617	1616	5	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
13	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	1730.5	1729	1728	6	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
13	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	2583.5	2582	2581	7	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
13	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	2766.5	2765	2764	8	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
13	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	2822.5	2821	2820	9	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
13	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	3226.5	3225	3224	10	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
15	3	2	30	1	1	0	0.0	0.0	50.0	from 25% to 50%	342.5	341	340	0	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	32.0	4	False	1e-60	60	1_8	
15	3	2	30	2	2	0	0.5	0.0	100.0	from 75% to 100%	376.0	375	373	1	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.75	4	False	1e-60	60	1_8	
15	3	2	30	2	2	0	0.5	0.0	100.0	from 75% to 100%	595.0	594	592	2	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.75	4	False	1e-60	60	1_8	
15	3	2	30	2	2	0	0.0	0.0	100.0	from 75% to 100%	771.5	770	769	3	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.75	4	False	1e-60	60	1_8	
12	3	1	30	1	1	0	0.0	0.0	100.0	from 75% to 100%	264.5	263	262	0	single annotated polyprotein	2.0	4	False	1e-60	60	1_8	
12	3	1	30	1	1	0	0.0	0.0	100.0	from 75% to 100%	612.5	611	610	1	single annotated polyprotein	2.0	4	False	1e-60	60	1_8	
