taxon_id	nb_protein	has_peptide	nb_peptides
44158	3	TRUE	14	ssRNA viruses
11020	4	TRUE	15	ssRNA viruses
59305	3	FALSE	0	ssRNA viruses
37124	3	TRUE	1	ssRNA viruses
11021	4	TRUE	20	ssRNA viruses
1231903	3	FALSE	0	ssRNA viruses
48544	3	TRUE	13	ssRNA viruses
59300	3	TRUE	1	ssRNA viruses
11024	3	TRUE	13	ssRNA viruses
1440170	2	TRUE	9	ssRNA viruses
59301	4	TRUE	16	ssRNA viruses
11023	2	FALSE	0	ssRNA viruses
59302	4	TRUE	1	ssRNA viruses
11027	3	TRUE	13	ssRNA viruses
11029	3	TRUE	13	ssRNA viruses
84589	3	TRUE	13	ssRNA viruses
78540	3	TRUE	13	ssRNA viruses
11033	3	TRUE	14	ssRNA viruses
11034	4	TRUE	16	ssRNA viruses
1159195	4	TRUE	1	ssRNA viruses
11036	4	TRUE	15	ssRNA viruses
11039	3	TRUE	14	ssRNA viruses
48543	4	TRUE	1	ssRNA viruses
1930825	2	FALSE	0	ssRNA viruses
