taxon_id	protein_id	match_id	method	score	Dbxref	name	signature_desc	start_in_prot	end_in_prot	start	end	fully included	partially included	duplicated	overlapping	OverlappingDistance	left_overlaps_peptide	right_overlaps_peptide	protein_fully_covered	nb_peptide_in_protein	nb_unannotated_part_in_protein
11788	NP_057866.1	7424	Pfam	4.9E-99	InterPro:IPR001245	PF07714	Protein tyrosine kinase	363	613	1705	2458	True	False	False	False	0	0	0	False	3	2
11788	NP_057866.1	7425	SMART	1.2E-31	InterPro:IPR000980	SM00252		246	329	1354	1606	True	False	False	False	0	0	0	False	3	2
11788	NP_057866.1	7426	CDD	0.0		cd05052	PTKc_Abl	356	618	1684	2473	True	False	False	False	0	0	0	False	3	2
11788	NP_057866.1	7427	ProSiteProfiles	42.181	InterPro:IPR000719	PS50011	Protein kinase domain profile.	363	614	1705	2461	True	False	True	False	0	0	0	False	3	2
11788	NP_057866.1	7428	ProSiteProfiles	24.982	InterPro:IPR000980	PS50001	Src homology 2 (SH2) domain profile.	248	338	1360	1633	True	False	False	False	0	0	0	False	3	2
11788	NP_057866.1	7429	Pfam	2.0E-23	InterPro:IPR000980	PF00017	SH2 domain	248	323	1360	1588	True	False	False	False	0	0	0	False	3	2
11788	NP_057866.1	7430	SMART	3.4E-65	InterPro:IPR015015	SM00808		855	981	3181	3562	True	False	False	False	0	0	0	False	3	2
11788	NP_057866.1	7431	SMART	5.9E-149	InterPro:IPR020635	SM00219		363	614	1705	2461	True	False	False	False	0	0	0	False	3	2
11788	NP_057866.1	7432	Pfam	3.2E-47	InterPro:IPR002079	PF01141	Gag polyprotein, inner coat protein p12	132	215	1012	1264	True	False	False	False	0	0	0	False	3	2
11788	NP_057866.1	7433	Pfam	5.7E-56	InterPro:IPR000840	PF01140	Matrix protein (MA), p15	2	113	622	958	True	False	False	False	0	0	0	False	3	2
11788	NP_057866.1	7434	Pfam	5.9E-30	InterPro:IPR015015	PF08919	F-actin binding	877	981	3247	3562	True	False	False	False	0	0	0	False	3	2
11788	NP_057866.1	7435	CDD	5.91885E-62	InterPro:IPR035837	cd09935	SH2_ABL	244	337	1348	1630	True	False	False	False	0	0	0	False	3	2
390845	YP_003029843.1	6055	ProSiteProfiles	13.095	InterPro:IPR007094	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	2970	3117	9002	9446	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6056	ProSiteProfiles	7.516	InterPro:IPR001650	PS51194	Superfamilies 1 and 2 helicase C-terminal domain profile.	1786	1946	5450	5933	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6057	ProSiteProfiles	76.25	InterPro:IPR001850	PS51528	Flavivirus NS3 protease (NS3pro) domain profile.	1452	1630	4448	4985	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6058	CDD	6.48017E-11		cd00046	DEXDc	1641	1762	5015	5381	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6059	Pfam	5.2E-185	InterPro:IPR000208	PF00972	Flavivirus RNA-directed RNA polymerase	2700	3339	8192	10112	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6060	ProSiteProfiles	105.24	InterPro:IPR026490	PS51591	mRNA cap 0 and cap 1 methyltransferase (EC 2.1.1.56 and EC 2.1.1.57) domain profile.	2454	2706	7454	8213	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6061	Pfam	1.5E-14	InterPro:IPR001850	PF00949	Peptidase S7, Flavivirus NS3 serine protease	1475	1610	4517	4925	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6062	ProSiteProfiles	13.005	InterPro:IPR014001	PS51192	Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.	1627	1780	4973	5435	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6063	SMART	0.0012	InterPro:IPR014001	SM00487		1618	1794	4946	5477	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6064	SMART	0.0013	InterPro:IPR001650	SM00490		1814	1903	5534	5804	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6065	Pfam	5.8E-8	InterPro:IPR011998	PF00869	Flavivirus glycoprotein, central and dimerisation domains	311	417	1025	1346	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6066	Pfam	2.6E-4	InterPro:IPR001650	PF00271	Helicase conserved C-terminal domain	1832	1903	5588	5804	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6067	Pfam	9.3E-32	InterPro:IPR001157	PF00948	Flavivirus non-structural Protein NS1	877	1058	2723	3269	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6068	Pfam	6.8E-52	InterPro:IPR011492	PF07652	Flavivirus DEAD domain	1631	1772	4985	5411	True	False	False	False	0	0	0	True	14	0
390845	YP_003029843.1	6069	Pfam	5.8E-16	InterPro:IPR002877	PF01728	FtsJ-like methyltransferase	2495	2667	7577	8096	True	False	False	False	0	0	0	True	14	0
390845	YP_009259320.1	16466	Pfam	2.9E-32	InterPro:IPR001157	PF00948	Flavivirus non-structural Protein NS1	877	1058	2723	3269	True	False	True	False	0	0	0	True	8	0
390845	YP_009259320.1	16467	Pfam	1.9E-8	InterPro:IPR011998	PF00869	Flavivirus glycoprotein, central and dimerisation domains	311	417	1025	1346	True	False	True	False	0	0	0	True	8	0
2003501	YP_009121743.1	12330	ProSiteProfiles	54.928	InterPro:IPR014759	PS51218	Superfamily 3 helicase of positive ssRNA viruses domain profile.	1217	1380	4810	5302	True	False	False	False	0	0	0	True	12	0
2003501	YP_009121743.1	12331	ProDom	2.0E-5		PD839781	POLYPROTEIN COAT CORE 2A P1D VP4 P1C VP3 VP2 P1B	1299	1329	5056	5149	True	False	False	False	0	0	0	True	12	0
2003501	YP_009121743.1	12332	CDD	1.36063E-27	InterPro:IPR033703	cd00205	rhv_like	211	400	1792	2362	True	False	False	False	0	0	0	True	12	0
2003501	YP_009121743.1	12333	ProSiteProfiles	16.237	InterPro:IPR007094	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	2016	2134	7207	7564	True	False	False	False	0	0	0	True	12	0
2003501	YP_009121743.1	12334	CDD	8.36038E-13	InterPro:IPR033703	cd00205	rhv_like	679	881	3196	3805	True	False	False	False	0	0	0	True	12	0
2003501	YP_009121743.1	12335	Pfam	1.2E-11	InterPro:IPR000199	PF00548	3C cysteine protease (picornain 3C)	1580	1753	5899	6421	True	False	False	False	0	0	0	True	12	0
2003501	YP_009121743.1	12336	CDD	2.75087E-35	InterPro:IPR033703	cd00205	rhv_like	462	638	2545	3076	True	False	False	False	0	0	0	True	12	0
