taxon_id	protein_id	polyprotein_outline	non_polyprotein_explanation	match_id	method	score	Dbxref	name	signature_desc	start_in_prot	end_in_prot	start	end	overlaps_cleavage_site	nb_of_cleavage_sites_overlapped	duplicated	overlaps_cleavage_site	OverlappingDistance	left_overlaps_peptide	right_overlaps_peptide	protein_fully_covered	nb_peptide_in_protein	nb_unannotated_part_in_protein	overlapping_distance	overlapping_side	overlapping_size_percentage
470166	YP_001976147.1	True		1760	ProSiteProfiles	11.556	InterPro:IPR007094	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	1377	1512	4267	4675	False	0	False	False	0	0	0	False	2	3			
470166	YP_001976147.1	True		1761	Pfam	4.1E-70	InterPro:IPR001205	PF00680	RNA dependent RNA polymerase	1210	1641	3766	5062	True	2	False	True	183	95	88	False	2	3	183		42.36111111111111
470166	YP_001976147.1	True		1762	CDD	1.31486E-67		cd01699	RNA_dep_RNAP	1297	1579	4027	4876	True	2	False	True	34	8	26	False	2	3	34		12.014134275618375
470166	YP_001976147.1	True		1763	ProSiteProfiles	44.22	InterPro:IPR014759	PS51218	Superfamily 3 helicase of positive ssRNA viruses domain profile.	365	533	1231	1738	True	2	False	True	71	32	39	False	2	3	71		42.01183431952663
470166	YP_001976147.1	True		1764	Pfam	1.8E-29	InterPro:IPR000605	PF00910	RNA helicase	389	495	1303	1624	True	2	False	True	9	8	1	False	2	3	9		8.411214953271028
470166	YP_001976149.1	True		1931	Pfam	6.1E-50	InterPro:IPR000603	PF00803	3A/RNA2 movement protein family	15	234	711	1371	False	0	False	False	0	0	0	True	4	0			
12131	NP_041009.1	True		504	ProSiteProfiles	56.655	InterPro:IPR014759	PS51218	Superfamily 3 helicase of positive ssRNA viruses domain profile.	1205	1361	4239	4710	False	0	False	False	0	0	0	True	11	0			
12131	NP_041009.1	True		505	Pfam	1.0E-51	InterPro:IPR000081	PF00947	Picornavirus core protein 2A	874	1000	3246	3627	False	0	False	False	0	0	0	True	11	0			
12131	NP_041009.1	True		506	Pfam	2.8E-31	InterPro:IPR002527	PF01552	Picornavirus 2B protein	1002	1099	3630	3924	True	1	False	True	1	1	0	True	11	0	1		1.0204081632653061
12131	NP_041009.1	True		507	Pfam	1.4E-28	InterPro:IPR000605	PF00910	RNA helicase	1225	1323	4299	4596	False	0	False	False	0	0	0	True	11	0			
12131	NP_041009.1	True		508	SMART	0.0029	InterPro:IPR003593	SM00382		1221	1352	4287	4683	False	0	False	False	0	0	0	True	11	0			
12131	NP_041009.1	True		509	ProSiteProfiles	15.55	InterPro:IPR007094	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	1946	2060	6462	6807	False	0	False	False	0	0	0	True	11	0			
12131	NP_041009.1	True		510	CDD	0.00250373		cd00009	AAA	1218	1348	4278	4671	False	0	False	False	0	0	0	True	11	0			
12131	NP_041009.1	True		511	ProDom	1.0E-77	InterPro:IPR000081	PD001306	POLYPROTEIN COAT CORE VP4 GENOME CONTAINS: P1A P1B VP2 P1C	855	1001	3189	3630	True	1	False	True	2	2	0	True	11	0	2		1.3605442176870748
12131	NP_041009.1	True		512	CDD	9.63413E-36	InterPro:IPR033703	cd00205	rhv_like	374	556	1746	2295	False	0	False	False	0	0	0	True	11	0			
12131	NP_041009.1	True		513	Pfam	6.2E-26	InterPro:IPR001676	PF00073	picornavirus capsid protein	361	522	1707	2193	False	0	False	False	0	0	0	True	11	0			
