taxon_id	peptide_id	feature_type	strand	len	nb_proteins_annotated_by_pep	protein_ids	polyprotein_outline	nb_protein_annotated_by_pep	cover_by_domain	overlapped_by_domain	length_covered_by_fully_included_domains	length_covered_by_all_domains	First_node	taxonomy
64280	NP_775683.1	mat_peptide	1	390	1	NP_620045.1	True	1	False	True			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775676.1	mat_peptide	1	279	1	NP_620045.1	True	1	False	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775684.1	mat_peptide	1	1848	1	NP_620045.1	True	1	True	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775677.1	mat_peptide	1	330	1	NP_620045.1	True	1	False	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775685.1	mat_peptide	1	357	1	NP_620045.1	True	1	False	True			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775686.1	mat_peptide	1	69	1	NP_620045.1	True	1	False	True			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775678.1	mat_peptide	1	483	1	NP_620045.1	True	1	False	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775687.1	mat_peptide	1	756	1	NP_620045.1	True	1	True	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775688.1	mat_peptide	1	2691	1	NP_620045.1	True	1	True	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775679.1	mat_peptide	1	225	1	NP_620045.1	True	1	False	True			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775680.1	mat_peptide	1	1455	1	NP_620045.1	True	1	True	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775681.1	mat_peptide	1	1059	1	NP_620045.1	True	1	True	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64280	NP_775682.1	mat_peptide	1	675	1	NP_620045.1	True	1	False	True			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64285	NP_776073.1	mat_peptide	1	1059	1	NP_620044.1	True	1	True	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64285	NP_776074.1	mat_peptide	1	687	1	NP_620044.1	True	1	False	True			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64285	NP_776075.1	mat_peptide	1	390	1	NP_620044.1	True	1	False	True			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64285	NP_776076.1	mat_peptide	1	1851	1	NP_620044.1	True	1	True	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
64285	NP_776069.1	mat_peptide	1	306	1	NP_620044.1	True	1	False	False			ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus', 'Rio Bravo virus group']
