taxon_id	protein_id	polyprotein_outline	has_peptide	nb_peptides	nb_unannotated_part	nb_cleavage_sites	is_sub_protein	non_polyprotein_explanation	potential_signal_P_first_pep_len	potential_signal_P_first_pep_type	len_protein	strand	taxonomy	First_node
154784	NP_085471.2	False	False	0	0	0	False		None	None	1605	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Leviviridae', 'Levivirus']	ssRNA viruses
154784	NP_085472.1	False	False	0	0	0	False		None	None	396	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Leviviridae', 'Levivirus']	ssRNA viruses
154784	NP_085473.1	False	False	0	0	0	False		None	None	1773	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Leviviridae', 'Levivirus']	ssRNA viruses
154784	NP_085469.1	False	False	0	0	0	False		None	None	108	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Leviviridae', 'Levivirus']	ssRNA viruses
101764	NP_116488.1	False	False	0	0	0	False		None	None	690	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Tymovirales', 'Betaflexiviridae', 'Quinvirinae', 'Carlavirus']	ssRNA viruses
101764	NP_116490.1	False	False	0	0	0	False		None	None	189	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Tymovirales', 'Betaflexiviridae', 'Quinvirinae', 'Carlavirus']	ssRNA viruses
101764	NP_116492.1	False	False	0	0	0	False		None	None	318	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Tymovirales', 'Betaflexiviridae', 'Quinvirinae', 'Carlavirus']	ssRNA viruses
101764	NP_116487.1	False	False	0	0	0	False		None	None	5961	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Tymovirales', 'Betaflexiviridae', 'Quinvirinae', 'Carlavirus']	ssRNA viruses
101764	NP_116489.1	False	False	0	0	0	False		None	None	330	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Tymovirales', 'Betaflexiviridae', 'Quinvirinae', 'Carlavirus']	ssRNA viruses
101764	NP_116491.1	False	False	0	0	0	False		None	None	915	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Tymovirales', 'Betaflexiviridae', 'Quinvirinae', 'Carlavirus']	ssRNA viruses
1112770	YP_004935358.1	False	False	0	0	0	False		None	None	5124	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Tymovirales', 'Betaflexiviridae', 'Trivirinae', 'Vitivirus']	ssRNA viruses
