First_node	taxon_id	peptide_id	feature_type	strand	start_as_prot	len	nb_peptides	signal_peptide_scheme	inclued_in_nb_prot	taxonomy
dsDNA viruses, no RNA stage	10497	NP_955558.1	mat_peptide	1	False	291		False	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	NP_955555.1	mat_peptide	-1	False	318		False	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	NP_955557.1	mat_peptide	-1	False	312		False	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	Unknown	sig_peptide	-1	True	60		True	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	NP_955562.1	mat_peptide	-1	False	936		False	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	NP_955554.1	mat_peptide	-1	False	255		False	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	Unknown	sig_peptide	1	True	63		True	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	Unknown	sig_peptide	-1	True	54		True	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	Unknown	sig_peptide	-1	True	57		True	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	Unknown	sig_peptide	-1	True	51		True	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	Unknown	sig_peptide	-1	True	42		True	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	NP_955556.1	mat_peptide	-1	False	192		False	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	NP_955559.1	mat_peptide	-1	False	138		False	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
dsDNA viruses, no RNA stage	10497	Unknown	sig_peptide	-1	True	54		True	1	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
