First_node	taxon_id	protein_id	strand	has_peptide	nb_peptides	nb_unannotated_part	nb_cleavage_sites	is_sub_protein	signal_peptide_scheme	len_first_peptide	first_pep_type	len_protein	taxonomy
Retro-transcribing viruses	11788	NP_057866.1	1		3	2	3	False	False	None		2946	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11788	NP_598370.1	1		0	0	0	False	False	None		156	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11788	NP_598369.1	1		0	0	0	False	False	None		492	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	338079	YP_001956722.2	1		0	0	0	False	False	None		3432	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Spumaretrovirinae', 'Spumavirus']
Retro-transcribing viruses	338079	YP_001956721.2	1		0	0	0	False	False	None		1932	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Spumaretrovirinae', 'Spumavirus']
Retro-transcribing viruses	338079	YP_001956724.2	1		0	0	0	False	False	None		897	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Spumaretrovirinae', 'Spumavirus']
Retro-transcribing viruses	338079	YP_001956723.2	1		0	0	0	False	False	None		2949	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Spumaretrovirinae', 'Spumavirus']
Retro-transcribing viruses	338079	YP_001956725.2	1		0	0	0	False	False	None		1410	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Spumaretrovirinae', 'Spumavirus']
Retro-transcribing viruses	348296	YP_443921.1	1		0	0	0	False	False	None		78	['Viruses', 'Retro-transcribing viruses', 'Retroviridae']
Retro-transcribing viruses	348296	YP_443922.1	1		0	0	0	False	False	None		6441	['Viruses', 'Retro-transcribing viruses', 'Retroviridae']
Retro-transcribing viruses	348296	YP_443923.1	1		0	0	0	False	False	None		2064	['Viruses', 'Retro-transcribing viruses', 'Retroviridae']
Retro-transcribing viruses	1711685	YP_009165751.1	1		0	0	0	False	False	None		1617	['Viruses', 'Retro-transcribing viruses', 'Caulimoviridae', 'Caulimovirus', 'unclassified Caulimovirus']
Retro-transcribing viruses	1711685	YP_009165749.1	1		0	0	0	False	False	None		1593	['Viruses', 'Retro-transcribing viruses', 'Caulimoviridae', 'Caulimovirus', 'unclassified Caulimovirus']
Retro-transcribing viruses	1711685	YP_009165750.1	1		0	0	0	False	False	None		2040	['Viruses', 'Retro-transcribing viruses', 'Caulimoviridae', 'Caulimovirus', 'unclassified Caulimovirus']
Retro-transcribing viruses	1711685	YP_009165747.1	1		0	0	0	False	False	None		510	['Viruses', 'Retro-transcribing viruses', 'Caulimoviridae', 'Caulimovirus', 'unclassified Caulimovirus']
Retro-transcribing viruses	1711685	YP_009165748.1	1		0	0	0	False	False	None		363	['Viruses', 'Retro-transcribing viruses', 'Caulimoviridae', 'Caulimovirus', 'unclassified Caulimovirus']
