taxon_id	protein_id	polyprotein_outline	has_peptide	nb_peptides	nb_unannotated_part	nb_cleavage_sites	is_sub_protein	non_polyprotein_explanation	potential_signal_P_first_pep_len	potential_signal_P_first_pep_type	len_protein	strand	taxonomy	First_node
66834	NP_046155.1	False	False	0	0	0	False		None	None	5997	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Dicistroviridae', 'Cripavirus']	ssRNA viruses
66834	NP_046156.1	False	False	0	0	0	False		None	None	2457	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Dicistroviridae', 'Cripavirus']	ssRNA viruses
92444	NP_066241.1	False	False	0	0	0	False		None	None	5721	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Dicistroviridae', 'Aparavirus']	ssRNA viruses
92444	NP_066242.1	False	False	0	0	0	False		None	None	2745	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Dicistroviridae', 'Aparavirus']	ssRNA viruses
470166	YP_001976147.1	True	True	2	3	4	False		None	None	6456	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'Torradovirus']	ssRNA viruses
470166	YP_001976148.1	False	False	0	0	0	False		None	None	573	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'Torradovirus']	ssRNA viruses
470166	YP_001976149.1	True	True	4	0	3	False		None	None	3576	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'Torradovirus']	ssRNA viruses
89463	NP_049374.1	False	False	0	0	0	False		None	None	8577	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Iflaviridae', 'Iflavirus']	ssRNA viruses
1460071	YP_009002581.1	False	False	0	0	0	False		None	None	9111	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Iflaviridae', 'Iflavirus']	ssRNA viruses
12131	NP_041009.1	True	True	11	0	10	False		None	None	6540	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Enterovirus']	ssRNA viruses
367301	YP_654555.1	True	True	5	0	4	False		None	None	6492	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'unassigned Secoviridae']	ssRNA viruses
367301	YP_654556.1	True	True	3	0	2	False		None	None	5202	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'unassigned Secoviridae']	ssRNA viruses
2003650	YP_002956076.1	True	True	11	0	10	False		None	None	6381	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Cosavirus']	ssRNA viruses
436447	YP_001285409.1	False	False	0	0	0	False		None	None	8952	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Iflaviridae', 'Iflavirus']	ssRNA viruses
1425364	YP_009104369.1	False	False	0	0	0	False		None	None	6579	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'Torradovirus']	ssRNA viruses
1425364	YP_009104370.1	False	False	0	0	0	False		None	None	609	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'Torradovirus']	ssRNA viruses
1425364	YP_009104371.1	True	True	4	0	3	False		None	None	3504	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'Torradovirus']	ssRNA viruses
294369	YP_164440.1	False	False	0	0	0	False		None	None	4191	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Dicistroviridae', 'Aparavirus']	ssRNA viruses
294369	YP_164441.1	False	False	0	0	0	False		None	None	3414	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Dicistroviridae', 'Aparavirus']	ssRNA viruses
223769	YP_006576510.1	False	False	0	0	0	False		None	None	6732	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'Comovirinae', 'Nepovirus']	ssRNA viruses
223769	YP_006576511.1	False	False	0	0	0	False		None	None	4053	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'Comovirinae', 'Nepovirus']	ssRNA viruses
1813613	YP_009269301.1	False	False	0	0	0	False		None	None	9627	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'unclassified Picornavirales']	ssRNA viruses
1027947	YP_006666503.2	False	False	0	0	0	False		None	None	6198	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Dicistroviridae', 'unclassified Dicistroviridae']	ssRNA viruses
1027947	YP_006666504.1	False	False	0	0	0	False		None	None	3093	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Dicistroviridae', 'unclassified Dicistroviridae']	ssRNA viruses
1228012	YP_009010984.1	False	False	0	0	0	False		None	None	9033	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Iflaviridae', 'Iflavirus']	ssRNA viruses
170621	NP_277061.1	False	False	0	0	0	False		None	None	8961	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Iflaviridae', 'Iflavirus']	ssRNA viruses
1481453	YP_009026384.1	False	False	0	0	0	False		None	None	7653	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mosavirus']	ssRNA viruses
1410467	YP_008719809.1	False	False	0	0	0	False		None	None	9051	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Iflaviridae', 'unclassified Iflaviridae']	ssRNA viruses
1487185	YP_009026409.1	False	False	0	0	0	False		None	None	8898	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Iflaviridae', 'Iflavirus', 'unclassified Iflavirus']	ssRNA viruses
1002918	NP_758809.1	True	True	12	0	11	False		None	None	7290	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Sapelovirus']	ssRNA viruses
674971	YP_392465.1	False	False	0	0	0	False		None	None	4614	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'unassigned Picornavirales', 'Labyrnavirus']	ssRNA viruses
674971	YP_398835.1	False	False	0	0	0	False		None	None	3417	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'unassigned Picornavirales', 'Labyrnavirus']	ssRNA viruses
173976	NP_620619.1	True	True	5	0	4	False		None	None	7011	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'Comovirinae', 'Nepovirus']	ssRNA viruses
173976	NP_620620.2	True	True	2	0	1	False		2049	mat_peptide	3723	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Secoviridae', 'Comovirinae', 'Nepovirus']	ssRNA viruses
1002921	NP_653145.1	True	True	12	0	11	False		None	None	6969	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Sapelovirus', 'Sapelovirus A']	ssRNA viruses
194965	NP_740257.1	True	True	11	0	10	False		None	None	7392	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Kobuvirus']	ssRNA viruses
1648483	YP_009255231.1	False	False	0	0	0	False		None	None	7476	1	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'environmental samples']	ssRNA viruses
